Time,Electric Degrade,Electricity Availability,Communications Function,IT Function,Healthcare Function,Transportation Function,Emergency Services Functionality,Critical Manufacturing Functionality,Water Functionality,
41,1,100,100,100,100,100,100,100,100,
42,1,100,100,100,100,100,100,100,100,
43,1,100,100,100,100,100,100,100,100,
44,1,100,100,100,100,100,100,100,100,
45,1,100,100,100,100,100,100,100,100,
46,1,100,100,100,100,100,100,100,100,
47,1,100,100,100,100,100,100,100,100,
48,1,100,100,100,100,100,100,100,100,
49,1,100,100,100,100,100,100,100,100,
50,1,100,100,100,100,100,100,100,100,
51,1,100,100,100,100,100,100,100,100,
52,1,100,100,100,100,100,100,100,100,
53,1,100,100,100,100,100,100,100,100,
54,1,100,100,100,100,100,100,100,100,
55,1,100,100,100,100,100,100,100,100,
56,1,100,100,100,100,100,100,100,100,
57,1,100,100,100,100,100,100,100,100,
58,1,100,100,100,100,100,100,100,100,
59,1,100,100,100,100,100,100,100,100,
60,1,100,100,100,100,100,100,100,100,
61,1,100,100,100,100,100,100,100,100,
62,1,100,100,100,100,100,100,100,100,
63,1,100,100,100,100,100,100,100,100,
64,1,100,100,100,100,100,100,100,100,
65,1,100,100,100,100,100,100,100,100,
66,1,100,100,100,100,100,100,100,100,
67,1,100,100,100,100,100,100,100,100,
68,1,100,100,100,100,100,100,100,100,
69,1,100,100,100,100,100,100,100,100,
70,1,100,100,100,100,100,100,100,100,
71,1,100,100,100,100,100,100,100,100,
72,1,100,100,100,100,100,100,100,100,
73,1,100,100,100,100,100,100,100,100,
74,1,100,100,100,100,100,100,100,100,
75,1,100,100,100,100,100,100,100,100,
76,1,100,100,100,100,100,100,100,100,
77,1,100,100,100,100,100,100,100,100,
78,1,100,100,100,100,100,100,100,100,
79,1,100,100,100,100,100,100,100,100,
80,1,100,100,100,100,100,100,100,100,
81,1,100,100,100,100,100,100,100,100,
82,1,100,100,100,100,100,100,100,100,
83,1,100,100,100,100,100,100,100,100,
84,1,100,100,100,100,100,100,100,100,
85,1,100,100,100,100,100,100,100,100,
86,1,100,100,100,100,100,100,100,100,
87,1,100,100,100,100,100,100,100,100,
88,1,100,100,100,100,100,100,100,100,
89,1,100,100,100,100,100,100,100,100,
90,1,100,100,100,100,100,100,100,100,
91,1,100,100,100,100,100,100,100,100,
92,1,100,100,100,100,100,100,100,100,
93,1,100,100,100,100,100,100,100,100,
94,1,100,100,100,100,100,100,100,100,
95,1,100,100,100,100,100,100,100,100,
96,1,100,100,100,100,100,100,100,100,
97,1,100,100,100,100,100,100,100,100,
98,1,100,100,100,100,100,100,100,100,
99,1,100,100,100,100,100,100,100,100,
100,0.2,100,100,100,100,100,100,100,100,
101,0.2,49.41563637,100,100,100,100,100,100,100,
102,0.2,30.81599712,100,100,100,100,100,100,100,
103,0.2,23.97699265,100,100,100,100,100,100,100,
104,0.2,21.46232226,100,100,100,100,100,100,100,
105,0.2,20.5376892,100,100,100,100,100,100,100,
106,0.2,20.19770586,100,100,100,100,100,100,100,
107,0.2,20.07269555,100,100,100,100,100,100,100,
108,0.2,20.02672982,100,100,100,100,100,100,100,
109,0.2,20.00982844,100,100,100,100,100,100,100,
110,0.2,20.00361387,100,100,100,100,100,100,100,
111,0.2,20.0013288,100,100,100,100,100,100,100,
112,0.2,20.0004886,100,100,100,100,100,100,100,
113,0.2,20.00017965,100,100,100,100,100,100,100,
114,0.2,20.00006606,100,100,100,100,100,100,100,
115,0.2,20.00002429,100,100,100,100,100,100,100,
116,0.2,20.00000893,100,100,100,100,100,100,100,
117,0.2,20.00000328,100,100,100,100,100,100,100,
118,0.2,20.00000121,100,100,100,100,100,100,100,
119,0.2,20.00000044,100,100,100,100,100,100,100,
120,0.2,20.00000016,100,100,100,100,100,100,100,
